FacilityID,Facility,ProgramID,ActvityTypeCategory,ActivityType,Gender,AgeLow,AgeHigh,AttendanceWeekDate,RegisteredIndividualsCount,UniqueIndividualCount,ProgramScheduleID,DateFrom,DateTo,weekday,AttendenceRealDate,PPR_Properties_ObjectID,PUBLIC_NAME,PARENT_NAME,NESTED,OFFICIAL_NAME,LABEL,ALIAS,DPP_ASSET_ID,ADDRESS_911,ZIP_CODE,ADDRESS_BRT,ALIAS_ADDRESS,ACREAGE,PROPERTY_CLASSIFICATION,PPR_USE,PPR_DISTRICT,PPR_OPS_DISTRICT,COUNCIL_DISTRICT,POLICE_DISTRICT,CITY_SCALE_MAPS,LOCAL_SCALE_MAPS,PROGRAM_SITES,COMMENTS,NAME,ServiceAreaID,PPR_DIST
{DB020C50-0F13-4A29-96CE-C4E77B575ED0},Laura Sims,"1081",Athletic,Ice Skating,M/F,"1","99",2021/05/10,"104","0","7773",2021/02/12,2021/06/27,Friday,2021/05/14,"136",Johnny Sample Recreation Center,Cobbs Creek Park,Y,Johnny Sample Recreation Center,Sample,Cobbs Creek Recreation Center and Pool,"1836",250 S 63RD ST,"19139",12 COBBS CREEK PKWY,"63rd & Spruce; 280 Cobbs Creek Parkway;12 COBBS CREEK PKWY",9.78530743,NEIGHBORHOOD_PARK,RECREATION_SITE,"8","8","3","18",Y,Y,Y,"ADDRESS_BRT comes from a bigger parcel; includes the Laura Sims Skate House",Cobbs Creek Area,8B,"8"
{A489E02A-8088-4140-828F-CE87734A6AFA},Shepard Recreation Center,"1189",Athletic,Boxing,M/F,"6","60",2021/03/15,"17","15","7908",2021/03/01,2021/06/25,Tuesday,2021/03/16,"129",Haddington-Marshall L Shepard Sr Recreation Center,Haddington-Marshall L Shepard Sr Recreation Center,N,"Haddington-Marshall L. Shepard, Sr. Recreation Center",Shepard,,"1952",5700 HAVERFORD AVE,"19131",5700 HAVERFORD AVE,57th & Haverford,8.21457867,NEIGHBORHOOD_PARK,RECREATION_SITE,"8","8","4","19",Y,Y,Y,,Shepard Area,8A,"8"
{A489E02A-8088-4140-828F-CE87734A6AFA},Shepard Recreation Center,"1189",Athletic,Boxing,M/F,"6","60",2021/03/15,"17","15","7904",2021/03/01,2021/06/25,Tuesday,2021/03/16,"129",Haddington-Marshall L Shepard Sr Recreation Center,Haddington-Marshall L Shepard Sr Recreation Center,N,"Haddington-Marshall L. Shepard, Sr. Recreation Center",Shepard,,"1952",5700 HAVERFORD AVE,"19131",5700 HAVERFORD AVE,57th & Haverford,8.21457867,NEIGHBORHOOD_PARK,RECREATION_SITE,"8","8","4","19",Y,Y,Y,,Shepard Area,8A,"8"
{A489E02A-8088-4140-828F-CE87734A6AFA},Shepard Recreation Center,"1189",Athletic,Boxing,M/F,"6","60",2021/03/08,"17","17","7908",2021/03/01,2021/06/25,Tuesday,2021/03/09,"129",Haddington-Marshall L Shepard Sr Recreation Center,Haddington-Marshall L Shepard Sr Recreation Center,N,"Haddington-Marshall L. Shepard, Sr. Recreation Center",Shepard,,"1952",5700 HAVERFORD AVE,"19131",5700 HAVERFORD AVE,57th & Haverford,8.21457867,NEIGHBORHOOD_PARK,RECREATION_SITE,"8","8","4","19",Y,Y,Y,,Shepard Area,8A,"8"
{A489E02A-8088-4140-828F-CE87734A6AFA},Shepard Recreation Center,"1189",Athletic,Boxing,M/F,"6","60",2021/03/08,"17","17","7904",2021/03/01,2021/06/25,Tuesday,2021/03/09,"129",Haddington-Marshall L Shepard Sr Recreation Center,Haddington-Marshall L Shepard Sr Recreation Center,N,"Haddington-Marshall L. Shepard, Sr. Recreation Center",Shepard,,"1952",5700 HAVERFORD AVE,"19131",5700 HAVERFORD AVE,57th & Haverford,8.21457867,NEIGHBORHOOD_PARK,RECREATION_SITE,"8","8","4","19",Y,Y,Y,,Shepard Area,8A,"8"
{DB020C50-0F13-4A29-96CE-C4E77B575ED0},Laura Sims,"1081",Athletic,Ice Skating,M/F,"1","99",2021/05/03,"66","0","7607",2021/02/12,2021/06/27,Friday,2021/05/07,"136",Johnny Sample Recreation Center,Cobbs Creek Park,Y,Johnny Sample Recreation Center,Sample,Cobbs Creek Recreation Center and Pool,"1836",250 S 63RD ST,"19139",12 COBBS CREEK PKWY,"63rd & Spruce; 280 Cobbs Creek Parkway;12 COBBS CREEK PKWY",9.78530743,NEIGHBORHOOD_PARK,RECREATION_SITE,"8","8","3","18",Y,Y,Y,"ADDRESS_BRT comes from a bigger parcel; includes the Laura Sims Skate House",Cobbs Creek Area,8B,"8"
{DB020C50-0F13-4A29-96CE-C4E77B575ED0},Laura Sims,"1081",Athletic,Ice Skating,M/F,"1","99",2021/05/03,"66","0","7609",2021/02/12,2021/06/27,Saturday,2021/05/08,"136",Johnny Sample Recreation Center,Cobbs Creek Park,Y,Johnny Sample Recreation Center,Sample,Cobbs Creek Recreation Center and Pool,"1836",250 S 63RD ST,"19139",12 COBBS CREEK PKWY,"63rd & Spruce; 280 Cobbs Creek Parkway;12 COBBS CREEK PKWY",9.78530743,NEIGHBORHOOD_PARK,RECREATION_SITE,"8","8","3","18",Y,Y,Y,"ADDRESS_BRT comes from a bigger parcel; includes the Laura Sims Skate House",Cobbs Creek Area,8B,"8"
{DB020C50-0F13-4A29-96CE-C4E77B575ED0},Laura Sims,"1081",Athletic,Ice Skating,M/F,"1","99",2021/05/03,"66","0","7774",2021/02/12,2021/06/27,Saturday,2021/05/08,"136",Johnny Sample Recreation Center,Cobbs Creek Park,Y,Johnny Sample Recreation Center,Sample,Cobbs Creek Recreation Center and Pool,"1836",250 S 63RD ST,"19139",12 COBBS CREEK PKWY,"63rd & Spruce; 280 Cobbs Creek Parkway;12 COBBS CREEK PKWY",9.78530743,NEIGHBORHOOD_PARK,RECREATION_SITE,"8","8","3","18",Y,Y,Y,"ADDRESS_BRT comes from a bigger parcel; includes the Laura Sims Skate House",Cobbs Creek Area,8B,"8"
{DB020C50-0F13-4A29-96CE-C4E77B575ED0},Laura Sims,"1081",Athletic,Ice Skating,M/F,"1","99",2021/05/03,"66","0","7773",2021/02/12,2021/06/27,Friday,2021/05/07,"136",Johnny Sample Recreation Center,Cobbs Creek Park,Y,Johnny Sample Recreation Center,Sample,Cobbs Creek Recreation Center and Pool,"1836",250 S 63RD ST,"19139",12 COBBS CREEK PKWY,"63rd & Spruce; 280 Cobbs Creek Parkway;12 COBBS CREEK PKWY",9.78530743,NEIGHBORHOOD_PARK,RECREATION_SITE,"8","8","3","18",Y,Y,Y,"ADDRESS_BRT comes from a bigger parcel; includes the Laura Sims Skate House",Cobbs Creek Area,8B,"8"
{DB020C50-0F13-4A29-96CE-C4E77B575ED0},Laura Sims,"1081",Athletic,Ice Skating,M/F,"1","99",2021/04/26,"66","0","7607",2021/02/12,2021/06/27,Friday,2021/04/30,"136",Johnny Sample Recreation Center,Cobbs Creek Park,Y,Johnny Sample Recreation Center,Sample,Cobbs Creek Recreation Center and Pool,"1836",250 S 63RD ST,"19139",12 COBBS CREEK PKWY,"63rd & Spruce; 280 Cobbs Creek Parkway;12 COBBS CREEK PKWY",9.78530743,NEIGHBORHOOD_PARK,RECREATION_SITE,"8","8","3","18",Y,Y,Y,"ADDRESS_BRT comes from a bigger parcel; includes the Laura Sims Skate House",Cobbs Creek Area,8B,"8"
{DB020C50-0F13-4A29-96CE-C4E77B575ED0},Laura Sims,"1081",Athletic,Ice Skating,M/F,"1","99",2021/04/26,"66","0","7609",2021/02/12,2021/06/27,Saturday,2021/05/01,"136",Johnny Sample Recreation Center,Cobbs Creek Park,Y,Johnny Sample Recreation Center,Sample,Cobbs Creek Recreation Center and Pool,"1836",250 S 63RD ST,"19139",12 COBBS CREEK PKWY,"63rd & Spruce; 280 Cobbs Creek Parkway;12 COBBS CREEK PKWY",9.78530743,NEIGHBORHOOD_PARK,RECREATION_SITE,"8","8","3","18",Y,Y,Y,"ADDRESS_BRT comes from a bigger parcel; includes the Laura Sims Skate House",Cobbs Creek Area,8B,"8"
{DB020C50-0F13-4A29-96CE-C4E77B575ED0},Laura Sims,"1081",Athletic,Ice Skating,M/F,"1","99",2021/04/26,"66","0","7774",2021/02/12,2021/06/27,Saturday,2021/05/01,"136",Johnny Sample Recreation Center,Cobbs Creek Park,Y,Johnny Sample Recreation Center,Sample,Cobbs Creek Recreation Center and Pool,"1836",250 S 63RD ST,"19139",12 COBBS CREEK PKWY,"63rd & Spruce; 280 Cobbs Creek Parkway;12 COBBS CREEK PKWY",9.78530743,NEIGHBORHOOD_PARK,RECREATION_SITE,"8","8","3","18",Y,Y,Y,"ADDRESS_BRT comes from a bigger parcel; includes the Laura Sims Skate House",Cobbs Creek Area,8B,"8"
{DB020C50-0F13-4A29-96CE-C4E77B575ED0},Laura Sims,"1081",Athletic,Ice Skating,M/F,"1","99",2021/04/26,"66","0","7773",2021/02/12,2021/06/27,Friday,2021/04/30,"136",Johnny Sample Recreation Center,Cobbs Creek Park,Y,Johnny Sample Recreation Center,Sample,Cobbs Creek Recreation Center and Pool,"1836",250 S 63RD ST,"19139",12 COBBS CREEK PKWY,"63rd & Spruce; 280 Cobbs Creek Parkway;12 COBBS CREEK PKWY",9.78530743,NEIGHBORHOOD_PARK,RECREATION_SITE,"8","8","3","18",Y,Y,Y,"ADDRESS_BRT comes from a bigger parcel; includes the Laura Sims Skate House",Cobbs Creek Area,8B,"8"
{DB020C50-0F13-4A29-96CE-C4E77B575ED0},Laura Sims,"1081",Athletic,Ice Skating,M/F,"1","99",2021/04/26,"89","0","7607",2021/02/12,2021/06/27,Friday,2021/04/30,"136",Johnny Sample Recreation Center,Cobbs Creek Park,Y,Johnny Sample Recreation Center,Sample,Cobbs Creek Recreation Center and Pool,"1836",250 S 63RD ST,"19139",12 COBBS CREEK PKWY,"63rd & Spruce; 280 Cobbs Creek Parkway;12 COBBS CREEK PKWY",9.78530743,NEIGHBORHOOD_PARK,RECREATION_SITE,"8","8","3","18",Y,Y,Y,"ADDRESS_BRT comes from a bigger parcel; includes the Laura Sims Skate House",Cobbs Creek Area,8B,"8"
{DB020C50-0F13-4A29-96CE-C4E77B575ED0},Laura Sims,"1081",Athletic,Ice Skating,M/F,"1","99",2021/04/26,"89","0","7609",2021/02/12,2021/06/27,Saturday,2021/05/01,"136",Johnny Sample Recreation Center,Cobbs Creek Park,Y,Johnny Sample Recreation Center,Sample,Cobbs Creek Recreation Center and Pool,"1836",250 S 63RD ST,"19139",12 COBBS CREEK PKWY,"63rd & Spruce; 280 Cobbs Creek Parkway;12 COBBS CREEK PKWY",9.78530743,NEIGHBORHOOD_PARK,RECREATION_SITE,"8","8","3","18",Y,Y,Y,"ADDRESS_BRT comes from a bigger parcel; includes the Laura Sims Skate House",Cobbs Creek Area,8B,"8"
{DB020C50-0F13-4A29-96CE-C4E77B575ED0},Laura Sims,"1081",Athletic,Ice Skating,M/F,"1","99",2021/04/26,"89","0","7774",2021/02/12,2021/06/27,Saturday,2021/05/01,"136",Johnny Sample Recreation Center,Cobbs Creek Park,Y,Johnny Sample Recreation Center,Sample,Cobbs Creek Recreation Center and Pool,"1836",250 S 63RD ST,"19139",12 COBBS CREEK PKWY,"63rd & Spruce; 280 Cobbs Creek Parkway;12 COBBS CREEK PKWY",9.78530743,NEIGHBORHOOD_PARK,RECREATION_SITE,"8","8","3","18",Y,Y,Y,"ADDRESS_BRT comes from a bigger parcel; includes the Laura Sims Skate House",Cobbs Creek Area,8B,"8"
{DB020C50-0F13-4A29-96CE-C4E77B575ED0},Laura Sims,"1081",Athletic,Ice Skating,M/F,"1","99",2021/04/26,"89","0","7773",2021/02/12,2021/06/27,Friday,2021/04/30,"136",Johnny Sample Recreation Center,Cobbs Creek Park,Y,Johnny Sample Recreation Center,Sample,Cobbs Creek Recreation Center and Pool,"1836",250 S 63RD ST,"19139",12 COBBS CREEK PKWY,"63rd & Spruce; 280 Cobbs Creek Parkway;12 COBBS CREEK PKWY",9.78530743,NEIGHBORHOOD_PARK,RECREATION_SITE,"8","8","3","18",Y,Y,Y,"ADDRESS_BRT comes from a bigger parcel; includes the Laura Sims Skate House",Cobbs Creek Area,8B,"8"
{1DC90953-ED07-4F08-B79F-B68C3CAFC326},DiSilvestro Playground,"4626",Athletic,Basketball,M/F,"7","12",2021/04/26,"11","10","7958",2021/04/23,2021/05/28,Friday,2021/04/30,"267",A Giuseppe DiSilvestro Playground,A Giuseppe DiSilvestro Playground,N,A. Giuseppe DiSilvestro Playground,DiSilvestro,,"228",1700 S BROAD ST,"19145",1700 S BROAD ST,"1701 S 15TH ST, Broad & Morris",1.99073614,NEIGHBORHOOD_PARK,RECREATION_SITE,"9","7","2","17",Y,Y,Y,Site is managed/maintained by PPR/CHOP/Public Health/Free Library,East Passyunk Area,9C,"9"
